iter	Passed	Remaining
600	2044	1357
601	2047	1353
602	2050	1350
603	2053	1346
604	2056	1342
605	2059	1338
606	2062	1335
607	2065	1331
608	2068	1328
609	2071	1324
610	2074	1320
611	2077	1317
612	2080	1313
613	2083	1309
614	2086	1306
615	2089	1302
616	2092	1298
617	2095	1295
618	2098	1291
619	2101	1288
620	2104	1284
621	2107	1280
622	2110	1277
623	2113	1273
624	2116	1269
625	2119	1266
626	2122	1262
627	2125	1259
628	2128	1255
629	2131	1251
630	2134	1248
631	2137	1244
632	2140	1241
633	2143	1237
634	2146	1233
635	2149	1230
636	2151	1226
637	2154	1222
638	2158	1219
639	2160	1215
640	2163	1211
641	2166	1208
642	2169	1204
643	2172	1200
644	2175	1197
645	2178	1193
646	2181	1190
647	2184	1186
648	2187	1183
649	2191	1179
650	2194	1176
651	2197	1173
652	2200	1169
653	2203	1165
654	2207	1162
655	2209	1158
656	2212	1155
657	2215	1151
658	2218	1148
659	2221	1144
660	2224	1140
661	2227	1137
662	2230	1133
663	2232	1129
664	2235	1126
665	2239	1123
666	2242	1119
667	2245	1115
668	2248	1112
669	2250	1108
670	2253	1105
671	2256	1101
672	2259	1097
673	2262	1094
674	2265	1090
675	2268	1087
676	2272	1084
677	2275	1080
678	2278	1077
679	2281	1073
680	2284	1069
681	2287	1066
682	2290	1062
683	2292	1059
684	2295	1055
685	2298	1052
686	2301	1048
687	2305	1045
688	2308	1041
689	2311	1038
690	2314	1035
691	2317	1031
692	2320	1028
693	2323	1024
694	2327	1021
695	2330	1017
696	2333	1014
697	2336	1010
698	2339	1007
699	2342	1004
700	2345	1000
701	2348	997
702	2351	993
703	2354	990
704	2357	986
705	2360	983
706	2363	979
707	2366	976
708	2370	972
709	2373	969
710	2375	965
711	2378	962
712	2381	958
713	2384	955
714	2387	951
715	2390	948
716	2393	944
717	2395	941
718	2398	937
719	2401	934
720	2404	930
721	2407	927
722	2410	923
723	2413	920
724	2416	916
725	2419	913
726	2422	909
727	2425	906
728	2428	902
729	2431	899
730	2434	896
731	2437	892
732	2440	889
733	2443	885
734	2446	882
735	2449	878
736	2452	875
737	2455	871
738	2458	868
739	2461	864
740	2464	861
741	2467	858
742	2470	854
743	2473	851
744	2476	847
745	2479	844
746	2483	841
747	2486	837
748	2488	834
749	2491	830
750	2494	827
751	2497	823
752	2501	820
753	2503	816
754	2506	813
755	2509	810
756	2512	806
757	2515	803
758	2518	799
759	2521	796
760	2524	792
761	2527	789
762	2530	785
763	2533	782
764	2536	779
765	2539	775
766	2542	772
767	2545	768
768	2548	765
769	2551	762
770	2554	758
771	2557	755
772	2560	751
773	2563	748
774	2566	745
775	2569	741
776	2572	738
777	2574	734
778	2577	731
779	2581	727
780	2584	724
781	2587	721
782	2590	717
783	2593	714
784	2596	711
785	2599	707
786	2602	704
787	2605	700
788	2608	697
789	2611	694
790	2614	690
791	2617	687
792	2620	684
793	2623	680
794	2626	677
795	2630	674
796	2633	670
797	2636	667
798	2639	663
799	2642	660
800	2645	657
801	2648	653
802	2651	650
803	2654	647
804	2657	643
805	2660	640
806	2663	637
807	2666	633
808	2669	630
809	2672	626
810	2675	623
811	2678	620
812	2681	616
813	2684	613
814	2687	610
815	2690	606
816	2693	603
817	2696	599
818	2699	596
819	2702	593
820	2705	589
821	2709	586
822	2712	583
823	2715	580
824	2718	576
825	2721	573
826	2723	569
827	2726	566
828	2730	563
829	2733	559
830	2736	556
831	2739	553
832	2742	549
833	2745	546
834	2748	543
835	2751	539
836	2754	536
837	2757	533
838	2761	529
839	2764	526
840	2767	523
841	2770	519
842	2773	516
843	2776	513
844	2780	509
845	2782	506
846	2786	503
847	2789	499
848	2792	496
849	2795	493
850	2797	489
851	2800	486
852	2803	483
853	2806	479
854	2809	476
855	2812	473
856	2814	469
857	2817	466
858	2820	462
859	2822	459
860	2826	456
861	2829	452
862	2831	449
863	2834	446
864	2837	442
865	2840	439
866	2843	436
867	2847	432
868	2850	429
869	2853	426
870	2856	423
871	2859	419
872	2862	416
873	2865	413
874	2867	409
875	2870	406
876	2873	403
877	2876	399
878	2879	396
879	2881	392
880	2884	389
881	2887	386
882	2891	383
883	2893	379
884	2896	376
885	2899	373
886	2902	369
887	2905	366
888	2908	363
889	2911	359
890	2914	356
891	2916	353
892	2919	349
893	2923	346
894	2926	343
895	2928	339
896	2931	336
897	2935	333
898	2938	330
899	2941	326
900	2943	323
901	2946	320
902	2949	316
903	2952	313
904	2955	310
905	2958	306
906	2961	303
907	2964	300
908	2967	297
909	2970	293
910	2973	290
911	2976	287
912	2979	283
913	2982	280
914	2985	277
915	2988	274
916	2991	270
917	2994	267
918	2997	264
919	2999	260
920	3002	257
921	3005	254
922	3008	251
923	3011	247
924	3014	244
925	3018	241
926	3021	237
927	3024	234
928	3027	231
929	3030	228
930	3032	224
931	3035	221
932	3038	218
933	3042	214
934	3045	211
935	3047	208
936	3050	205
937	3053	201
938	3056	198
939	3059	195
940	3062	192
941	3065	188
942	3068	185
943	3071	182
944	3074	178
945	3077	175
946	3080	172
947	3083	169
948	3086	165
949	3089	162
950	3092	159
951	3095	156
952	3098	152
953	3101	149
954	3104	146
955	3107	143
956	3110	139
957	3113	136
958	3116	133
959	3120	130
960	3122	126
961	3125	123
962	3128	120
963	3131	116
964	3134	113
965	3137	110
966	3140	107
967	3143	103
968	3146	100
969	3149	97
970	3151	94
971	3154	90
972	3157	87
973	3160	84
974	3163	81
975	3166	77
976	3169	74
977	3172	71
978	3174	68
979	3177	64
980	3181	61
981	3184	58
982	3187	55
983	3190	51
984	3193	48
985	3196	45
986	3199	42
987	3202	38
988	3204	35
989	3207	32
990	3210	29
991	3214	25
992	3217	22
993	3220	19
994	3222	16
995	3225	12
996	3228	9
997	3231	6
998	3234	3
999	3237	0
